0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,date
国家主席习近平发表二〇二〇年新年贺词,决胜全面小康迈向新的征程（社论）,用汗水浇灌收获以实干笃定前行,全国政协举行新年茶话会,在全国政协新年茶话会上的讲话,历史性成就的深刻启示（人民论坛）,只争朝夕不负韶华,在全国政协新年茶话会上的讲话,丹青书盛世妙笔颂华章,新年戏曲晚会在京举行,中国高铁强劲奔跑,温暖人心振奋人心,脱贫攻坚万众一心加油干,中俄两国元首互致新年贺电,公布《中华人民共和国外商投资法实施条例》,只争朝夕不负韶华,国家主席习近平发表二〇二〇年新年贺词,“伟大历程辉煌成就——庆祝中华人民共和国成立70周年大型成就展”圆满落幕,习近平《在庆祝澳门回归祖国二十周年大会暨澳门特别行政区第五届政府就职典礼上的讲话》单行本出版,温暖人心振奋人心,新年戏曲晚会在京举行,全国政协举行新年茶话会,广告,广告,空,空,空,空,空,空,01_01
决胜脱贫在今朝,勇立潮头御风行,爱国主义精神构筑起民族的脊梁,坚持和完善中国特色社会主义制度,让我们一起奔跑（人民论坛）,坚定信心，让梦想照进现实（人民观点）,不惧风雨不畏险阻(和音),历史交汇点上的伟大宣示（大家手笔）,不断开辟“中国之治”新境界,全面小康冲锋号已经吹响,让初心始终闪耀,根治欠薪彰显治理温度（人民时评）,给扶贫干部最坚强的后盾（一线视角）,确保实现国家治理体系和治理能力现代化（新知新觉）,激发数字经济“牵引力”（新论）,迈进新的一年奋斗只争朝夕,万众一心加油干,今年首场升国旗仪式举行,勇立潮头御风行,领航定向坚定前行,赢得口碑与收视双丰收（光影视界）,在守正创新中培根铸魂,“我们的心贴得更近了”,“阜阳夜话”，架起沟通桥梁（守初心担使命找差距抓落实·深入开展“不忘初心、牢记使命”主题教育·记者观察）,老兵的本色,融资降成本源头活水来（经济聚焦）,欢度元旦快乐运动,携手合作共发展,高水平开放助推高质量发展,当一天村干部，就要扎实干一天事（新时代·面孔）,01_02
初心和使命是走好新时代长征路的不竭动力,彩云长在有新天,以普通人的平凡书写不平凡的人生（人民论坛）,求真务实，书写历史新篇章（人民观点）,把新发展理念作为指挥棒（声音）,紧紧围绕党和国家工作大局全面履行职责坚持依法审计完善体制机制,向全军发布开训动员令,行走黄河看巨变,发挥党建引领作用（中国道路中国梦·奋战在基层一线（30））,多方发力，破解蓄电池回收难题（人民时评）,彩云长在有新天,推动新时代改革开放走得更稳走得更远,古村希望(寻找最美乡村),听，人与长河的交响（人民眼·行走黄河（上））,主塔墩钢沉井完成定位,谱写新时代改革开放新篇章（大家手笔）,巩固拓展减税降费成效从严从紧管好财政支出确保全面建成小康社会和“十三五”规划圆满收官,激发东西部扶贫协作合力（一线视角）,努力使各方面制度更加成熟更加定型（新知新觉）,彼此信任驰而不息（大使随笔）,老楼换梯如何破题（倾听·关注电梯安全）,空中步道风景独好,塑造典型人物为时代传神写照（高峰之路）,突出时代精神彰显经典魅力（作品品鉴）,用自己的双手创造幸福生活,房贷利率变化对你有何影响（经济聚焦）,群众烦心事，就是要紧事（守初心担使命找差距抓落实·深入开展“不忘初心、牢记使命”主题教育·整改落实）,让编制资源“活”起来（改革落实在基层）,建设高素质专业化事业单位工作人员队伍,一鼓作气、乘势而上坚决夺取脱贫攻坚战的全面胜利,01_03
万众一心加油干越是艰险越向前,我家门前,好诗三“道”（大地漫笔）,时光里的黄姚,一条鱼的故事,礼赞新中国奏响最强音,抓好黄河流域生态保护和高质量发展,二十三户村民凿出幸福路（记录中国）,坚决歼灭最后的贫困堡垒,全国宣传部长会议在京召开,南极不难及冰上有奇遇,李克强主持召开国务院常务会议,不夜港渔家忙（寻找最美乡村）,解了难题顺了心气（十九届四中全会精神在基层）,用镜头留住美丽冬天,“鼓浪屿”号邮轮厦门成功启航,礼赞新中国奏响最强音,国家主席习近平任免驻外大使,通报10起“四风”问题典型案例,图片报道,贯彻新时代军事战略方针大抓实战化军事训练,《习近平在厦门》《习近平在宁德》出版发行,不忘初心牢记使命努力争当科技强军先锋,新春近民俗乐,图片报道,电梯安全咋上保险（倾听·关注电梯安全）,“中国朋友帮我们实现了‘太空梦’”,中国“朋友圈”越来越大（记者手记）,习近平同蒙古国总统巴特图勒嘎互致新年贺电,《科学》杂志展望2020年十大科学头条,01_04
向世界展示一个文明开放包容的中国,脱贫了还要好好干（总书记来过我们家）,绿色发展，打造黄金经济带,“历经风雨，我们更有底气”（身边看“六稳”（16））,只要有信心黄土变成金（今日谈）,巴尔扎克的“中国情结”,“中国历史和文化令我着迷”（海客谈神州）,文物建筑维修中的保护和传承（文明之声）,图片报道,高空建索道连通悬崖村,把研究和推广中华文化作为一生的事业（深聚焦）,高校怎样上好“关键课程”(凭栏处),考古揭示的早期城市化信息,提前学拼音,桑岛上温暖的故事,为托马斯·巴赫画像,“用上了自己国家的油，我们非常自豪”,为了更加美好的明天（观沧海）,陈国强严重违纪违法被开除党籍和公职,家门口乐购进口货,助力“跨越式”奔小康,让执行难不再是“老大难”(国家治理的基层实践),义乌桥头遗址（考古进行时）,赵正永严重违纪违法被开除党籍,国务院任免国家工作人员,点石成金的工作队,培养扎根中国大地的医学人才(面对面),老挝政府总理通伦,人民币占全球外储比例创新高,图片报道,01_05
为实现新时代党的历史使命不懈奋斗,以优良作风凝聚决战决胜磅礴力量,扎实苦干，用奋斗成就未来（人民观点）,中共中央印发《中国共产党党和国家机关基层组织工作条例》,中共中央印发《中国共产党国有企业基层组织工作条例（试行）》,为人才搭“桥梁”竖“阶梯”（人民时评）,推动机关党的建设始终走在前、作表率,新时代机关党的建设的制度保证,有实力有底气有信心（大家手笔）,为国有企业强“根”铸“魂”,助力企业家完成创业“剧本”（声音）,“厕所革命”是一项系统工程,《习近平关于中国特色大国外交论述摘编》出版发行,绿与美（金台随感·“生态笔谈”①）,高铁穿越八达岭（新时代之光）,万里长江绿意浓,中医学发展须守正创新（新论）,雪落有人知,运用制度威力应对风险挑战的冲击,拉林铁路施工忙,楠树湾访楠,深入学习习近平外交思想，努力开创中国特色大国外交新局面,确保剩余贫困人口全部如期脱贫,扶贫特色产业惠及千家万户,夜未央灯如昼,保障“中国号”巨轮行稳致远（新知新觉）,为实现新时代党的历史使命不懈奋斗,坚定不移贯彻新发展理念,玉山亘野琼林分道,她在最困难的时候奋力向前（为梦想奔跑）,01_06
说说“年代感”（人民论坛）,为实现中华民族伟大复兴中国梦凝神聚力（权威访谈）,住得更暖心过得更舒心（总书记来过我们家）,让“金色名片”永远熠熠生辉（评论员观察）,长江滚滚向前生活蒸蒸日上,显著优势铸就“四个自信”,习近平同基里巴斯总统马茂会谈,让统战工作在基层实起来（声音）,以高质量党建推动国有企业高质量发展,编纂凝聚中国智慧的民法典（人民时评）,强大治理效能令人信服（大家手笔）,以文为鉴可观天下,把我国制度优势充分发挥出来（新知新觉）,以法治守护生活安宁,一个来了还想再来的图书馆,着力提升中外合作办学水准（新论）,让群众的幸福稳稳的（今日谈）,这批年轻人，网上“务正业”（大数据观察·网聚青年力量）,用通俗理论读物讲好中国之治,致富道路越走越稳,公布专项整治漠视侵害群众利益问题阶段性工作成果,把温暖的种子播撒大地（爱国情奋斗者）,打好“开放牌”念好“山海经”,习近平会见老挝总理通伦,科学规划让城市更美好（开卷知新）,畅通服务群众“最后一百米”（守初心担使命找差距抓落实·深入开展“不忘初心、牢记使命”主题教育·整改落实）,“让我们一起跳南旺舞”,坚定“四个自信”的基本依据（我国国家制度和国家治理体系具有多方面的显著优势）,图片报道,《习近平庆祝中华人民共和国成立70周年重要讲话》出版发行,01_07
永葆中国共产党人的初心本色,听取全国人大常委会、国务院、全国政协、最高人民法院、最高人民检察院党组工作汇报听取中央书记处工作报告,让广大基层干部轻装上阵（评论员观察）,坚守初心使命必须坚定制度自信（深入学习贯彻习近平新时代中国特色社会主义思想）,科技创新筑牢强国之基（人民论坛）,家门口上班靠双手干出好日子(新春走基层·脱贫攻坚一线见闻),胸怀两个大局迈上新的征程（思想纵横）,把不忘初心、牢记使命作为终身课题（治理之道）,公布《保障农民工工资支付条例》,从“新京张”看百年巨变（人民时评）,那稻那鹭那人（新时代之光）,清洁能源动力强劲,永葆中国共产党人的初心本色,将“改”字贯穿主题教育全过程（有的放矢）,实现生态效益、经济效益的最大化（评论员观察）,老人与树（金台随感·“生态笔谈”②）,土地生暖（泥土芬芳）,正风反腐，让群众有更多获得感,比捐款更宝贵的是精神财富（纵横）,明确目标任务加强组织领导推动人口普查工作顺利实施,激活老旧厂房的文化价值（一线视角）,北京城市副中心拉开建设框架,带足工钱回家过年（权威发布）,我的工作在线上（大数据观察·网聚青年力量）,聚焦脱贫攻坚展示奋进中国,走出大山的希望（守初心担使命找差距抓落实·深入开展“不忘初心、牢记使命”主题教育·身边的初心使命）,高峡平湖橙黄山绿（寻找最美乡村·家在长江边①）,冰雪世界,以新金融履践初心使命锻造政治忠诚,庆鱼年,01_08
以主题教育为新的起点持续推动全党不忘初心牢记使命,在“不忘初心、牢记使命”主题教育总结大会上的讲话,新时代党的自我革命的生动实践,作风建设永远在路上（评论员观察）,永葆人民军队性质宗旨本色（人民论坛）,万众一心加油干（思想纵横）,擦亮基层群众的幸福底色（治理者说）,李克强主持召开国务院常务会议,坚定制度自信续写华彩篇章（深入学习贯彻习近平新时代中国特色社会主义思想）,把家风建设融入传统节日,于大变局中彰显使命担当,在“全球坐标系”中谋发展（一线视角·聚焦全面建成小康社会①）,进一步激发市场蕴藏的活力（人民时评）,传统与现代的邂逅（寻找最美乡村）,全面推进基层政务公开标准化规范化,返乡入乡创业政策支持力度加大,基层政务公开有了时间表,“人类历史上最不同寻常的经济发展故事”（外媒看中国）,岚县:“山药蛋”变得“高大上”（新春走基层·脱贫攻坚一线见闻）,书，尽情听（文化市场新观察）,画里有话,让“流动的中国”更加平安温馨,新中国峥嵘岁月,让高校思政课更具亲和力针对性（有的放矢）,对赵正永、陈国强决定逮捕,把党建压实到每一个细节（国企党建典型）,火树银花映了溪,服务国家战略展现江苏作为（推进长三角一体化建设）,彭丽媛会见美国茱莉亚学院院长沃泽尔,合作共享的科技未来值得期待（和音）,01_09
始终做到初心如磐使命在肩,认真学习贯彻习近平总书记在“不忘初心、牢记使命”主题教育总结大会上的重要讲话,创新，在复兴的征程上,倡导“办事不求人”的风气(人民论坛),激发走好新时代长征路的不竭动力（评论员观察）,用制度为“居有所安”护航（人民时评）,新时代深化党的自我革命的生动实践,不断培厚创新的沃土,破解停车难题，畅通生命通道（新论）,社会主义基本经济制度是党和人民的伟大创造(深入学习贯彻党的十九届四中全会精神),有语言力度，更要有思想深度（作品品鉴）,全国统战部长会议在京召开,从体系层面认识和把握制度（思想纵横）,喜出深山（记录中国·暖暖的新家）,习近平就乌克兰客机坠毁分别向乌克兰总统泽连斯基、伊朗总统鲁哈尼致慰问电,来论·春运,春运大幕今日拉开（权威发布）,图片报道,加快完善医疗保障体系扎实做好医疗保障工作为保障改善民生作出更大贡献,筑牢根基行稳致远（名师谈艺）,黄土高坡治出黄河新面貌（人民眼·行走黄河（中））,神舟二十载问天不停歇（讲述·特别报道）,改革激发纪检监察工作新活力,串起一带一路上耀眼的明珠,为推进新型经济全球化贡献中国力量（有的放矢）,为实体经济提供高质量金融服务（新知新觉）,油菜花开春先到(寻找最美乡村),中东和平稳定是世界所盼（国际论坛）,不断满足广大老年人健康养老需求,唱响铁路高质量发展最强音,01_10
